"WVK_ID","WVK_BEGDAT","BEGAFSTAND","ENDAFSTAND","BEGKM","ENDKM"
68190002,20211101,0,129,3.696,3.799
69144010,20220701,0,1269,11.077,12.342
69191011,20211101,0,179,4.476,4.655
69192004,20211101,0,18,4.673,4.682
69192005,20211101,0,18,4.655,4.673
69192007,20211101,0,27,4.682,4.655
69192008,20211101,0,54,4.736,4.682
71176010,20211101,0,850,27.236,26.401
71181002,20211001,0,454,164.204,163.751
72143007,20210701,0,1853,12.784,14.623
72143008,20211201,0,404,12.373,12.784
72143012,20220101,0,18,12.35,12.369
72143013,20220101,0,23,12.342,12.35
72143017,20220101,0,19,12.369,12.399
72181002,20211101,0,296,50.275,49.977
72182053,20211001,0,1950,163.751,161.789
72182055,20211101,0,85,164.068,163.986
72182056,20211101,0,17,50.443,50.435
72182057,20211101,0,10,50.435,50.43
72182058,20211101,0,9,50.451,50.443
72182059,20211101,0,14,50.456,50.451
72182060,20211101,0,10,50.452,50.453
72182061,20211101,0,12,50.44,50.452
72182065,20211101,0,54,50.452,50.506
72182075,20141101,0,38,164.029,164.013
72182076,20211001,0,88,164.013,163.924
72182077,20211001,0,69,164.068,164.013
72182078,20211001,0,103,164.029,163.924
72182079,20211101,0,20,164.05,164.029
72182089,20211101,0,490,51.001,50.506
72182090,20211001,0,134,163.885,163.751
72182091,20211001,0,37,163.922,163.885
72182096,20211001,0,22,164.092,164.07
72182097,20211001,0,112,164.204,164.092
72182103,20211101,0,120,50.395,50.275
72202010,20211101,0,2705,13.924,11.226
72202039,20141101,0,27,66.47,66.458
72202040,20220201,0,29,66.487,66.47
72202042,20211001,0,479,66.477,65.999
72202044,20211101,0,90,14.014,13.924
73177006,20211101,0,533,26.401,25.861
73181015,20211101,0,1202,49.977,48.777
73203003,20211001,0,1092,65.999,64.907
73205005,20211001,0,3979,64.907,60.927
74178007,20211101,0,1174,25.861,24.692
75183003,20211101,0,813,48.777,47.971
76141008,20211201,0,18,15,15.013
76141009,20211201,0,24,14.975,15
76142004,20210701,0,342,14.623,14.975
76178010,20211101,0,2556,24.692,22.151
76183008,20211101,0,922,47.971,47.045
76183009,20211001,0,6243,161.789,155.533
76212004,20211001,0,142,60.927,60.785
76212009,20211001,0,75,60.785,60.71
76212010,20211001,0,285,60.71,60.426
76212012,20211001,0,14,60.758,60.744
76212013,20211001,0,31,60.785,60.754
76212017,20211001,0,459,60.744,60.279
77141010,20211201,0,19,15.013,15.035
77141021,20211201,0,1112,15.013,16.12
77200005,20100201,0,120,11.226,11.095
77200006,20211101,0,535,11.095,10.573
77200017,20211101,0,323,10.9,10.573
77212016,20211001,0,305,60.681,60.992
77213014,20211001,0,30,60.992,61.022
77213016,20211001,0,29,60.279,60.25
77213021,20211001,0,26,59.983,59.957
77213022,20211001,0,64,60.047,59.983
77213023,20211001,0,380,60.426,60.047
78183010,20211101,0,108,47.045,46.922
78200004,20181201,0,80,10.572,10.49
78200011,20211101,0,1110,10.491,9.425
78213001,20211001,0,1319,59.894,58.57
78213002,20211001,0,63,59.957,59.894
79141024,20211201,0,3522,16.12,19.641
79175003,20211101,0,389,22.104,21.703
79175006,20110201,0,47,22.155,22.099
79182002,20211101,0,413,45.989,45.566
80181001,20211101,0,308,45.566,45.259
80199003,20211101,0,1341,9.425,8.089
80221003,20211001,0,316,55.748,55.408
80222008,20211001,0,150,55.238,55.408
81181005,20211101,0,229,45.259,45.034
82170006,20220401,0,760,33.735,34.494
82170007,20220401,0,686,34.173,34.859
82170016,20210401,0,323,34.173,34.494
82172011,20211101,0,724,19.844,19.12
83170017,20210801,0,284,33.888,34.173
83170021,20090301,0,28,19.083,19.103
83171004,20090301,0,28,19.103,19.12
83174020,20211101,0,1205,36.677,37.879
83174022,20211101,0,631,36.677,37.308
83181007,20211101,0,603,44.33,43.719
83199004,20211101,0,288,8.089,7.784
83225031,20141101,0,40,52.933,52.979
83225032,20141101,0,35,52.91,52.933
83226026,20220201,0,20,52.168,52.188
83226030,20211001,0,38,52.1,52.129
83226031,20220201,0,25,52.236,52.257
83226032,20220201,0,23,52.232,52.236
83227018,20090401,0,46,8.475,8.49
83227019,20090401,0,29,8.46,8.475
84145003,20220401,0,78,17.599,17.527
84145004,20220401,0,305,17.912,17.599
84174040,20211101,0,539,37.612,37.039
84180001,20211101,0,470,43.719,43.227
84199009,20211101,0,1754,7.441,5.629
84199010,20211101,0,26,7.784,7.758
84199011,20211101,0,6,7.783,7.789
84199012,20211101,0,24,7.743,7.767
84199013,20211101,0,10,7.743,7.735
84199015,20211101,0,23,7.766,7.743
84199018,20211101,0,27,7.757,7.784
84226002,20220201,0,35,52.133,52.168
84226003,20220201,0,28,52.106,52.133
84226004,20211001,0,1076,52.052,50.99
84226005,20220201,0,51,52.106,52.215
84226007,20220201,0,24,52.215,52.232
85138027,20211101,0,42,19.642,19.6
85138038,20211101,0,37,3.059,3.095
85138050,20211201,0,17,19.675,19.7
85138053,20211201,0,15,19.641,19.617
85138055,20211201,0,1625,19.675,21.303
85138056,20211201,0,22,19.666,19.675
85138057,20211201,0,21,19.641,19.666
85139061,20211101,0,33,3.097,3.13
85174002,20211101,0,607,5.164,4.568
85174021,20211101,0,384,5.547,5.164
85175017,20211101,0,1134,37.878,36.737
85175018,20211101,0,2239,37.879,40.118
85180001,20211101,0,539,42.73,42.181
85180002,20211101,0,502,43.227,42.73
86139002,20211101,0,43,3.565,3.6
86162007,20210801,0,3500,29.728,33.23
86181006,20211101,0,171,42.181,42.01
86226001,20220201,0,1351,50.99,49.642
87140015,20080301,0,18,4.279,4.296
87140016,20211101,0,1014,4.296,5.304
87140017,20080301,0,16,4.262,4.279
87174001,20211101,0,504,4.568,4.065
87181001,20211101,0,499,41.863,41.379
87181005,20211101,0,140,42.003,41.863
87230006,20080301,0,21,5.93,5.937
87230008,20080301,0,19,5.937,5.959
87230011,20211101,0,1625,5.959,7.585
87232006,20150301,0,21,4.53,4.534
87232013,20211101,0,28,4.533,4.561
88118019,20211101,0,72,.47,.542
88118020,20220801,0,304,.542,.852
88118022,20180401,0,122,3.69,.47
88118023,20211101,0,101,.369,.47
88119002,20211101,0,194,.852,1.043
88137022,20210401,0,214,21.301,21.514
88142004,20211101,0,392,5.304,5.696
88143002,20210801,0,657,19.593,20.25
88143004,20211101,0,749,19.593,20.371
88144005,20211101,0,256,15.701,15.439
88144006,20211101,0,22,15.723,15.701
88144007,20211101,0,8,15.731,15.723
88144008,20211101,0,20,15.721,15.701
88144010,20211101,0,166,15.887,15.721
88160002,20210801,0,1422,28.307,29.728
88174001,20211101,0,285,4.065,3.773
88174002,20211101,0,286,3.773,3.501
88179020,20211001,0,1057,155.533,154.478
88179043,20211101,0,90,155.029,154.94
88179044,20211101,0,41,155.07,155.029
88179046,20211101,0,125,155.599,155.724
88179048,20211101,0,313,40.118,40.43
88179051,20211101,0,292,40.503,40.793
88179052,20211101,0,41,40.465,40.503
88179060,20211101,0,270,40.43,40.702
88179064,20211101,0,2427,40.306,37.878
88180018,20220101,0,62,155.533,155.471
88180020,20211101,0,165,155.234,155.07
88180025,20211101,0,374,40.702,41.104
88180026,20211101,0,162,155.396,155.234
88180027,20211101,0,82,155.471,155.396
88181005,20211101,0,988,41.379,40.401
88200002,20211101,0,1098,5.629,4.548
88227004,20220201,0,137,49.642,49.507
88232002,20211101,0,446,4.527,4.073
88232004,20201101,0,38,4.527,4.53
88233005,20211101,0,464,3.478,3.014
88233007,20181201,0,26,4.048,4.072
88233008,20201101,0,24,4.072,4.048
88233009,20150301,0,23,4.048,4.024
89122017,20211101,0,542,0,.541
89123002,20211101,0,616,3.2,3.82
89124004,20211101,0,837,3.82,4.662
89137016,20210401,0,540,16.221,16.766
89137017,20220301,0,11,21.962,21.963
89137018,20220301,0,173,21.873,21.963
89137021,20210801,0,352,21.591,21.943
89137023,20210401,0,10,21.838,21.831
89137024,20210401,0,12,21.856,21.838
89137025,20210401,0,43,21.838,21.859
89137026,20210801,0,344,21.514,21.859
89137027,20180401,0,11,21.873,21.878
89137028,20210401,0,29,21.859,21.873
89137029,20210401,0,11,21.873,21.856
89137032,20210401,0,498,16.221,16.721
89137033,20210401,0,78,21.513,21.591
89137036,20210401,0,9,16.211,16.22
89138005,20210801,0,2892,16.721,19.593
89142005,20181201,0,9,5.696,5.705
89142007,20211101,0,613,5.7,6.3
89144001,20211101,0,36,15.437,15.401
